name,accession_id,collection_date,location,Lineage,Institute
hCoV-19/USA/NY-PRL-220921_00B19/2022,EPI_ISL_15296425,18/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_00A17/2022,EPI_ISL_15296621,21/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_00C03/2022,EPI_ISL_15296639,23/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_00E17/2022,EPI_ISL_15296679,23/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_00J14/2022,EPI_ISL_15296837,24/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_01D07/2022,EPI_ISL_15296943,24/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220926_01G02/2022,EPI_ISL_15296988,23/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00A23/2022,EPI_ISL_15297034,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00B13/2022,EPI_ISL_15297039,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00C07/2022,EPI_ISL_15297051,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00C14/2022,EPI_ISL_15297054,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00C19/2022,EPI_ISL_15297058,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00E04/2022,EPI_ISL_15297079,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00E05/2022,EPI_ISL_15297080,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00E06/2022,EPI_ISL_15297081,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00E15/2022,EPI_ISL_15297085,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/DRC/INRB-RDC-1127/2022,EPI_ISL_15297152,2022,Africa / Democratic Republic of the Congo / Kinshasa,BQ.1,
hCoV-19/DRC/INRB-RDC-1128/2022,EPI_ISL_15297153,2022,Africa / Democratic Republic of the Congo / Kinshasa,BQ.1,
hCoV-19/DRC/INRB-RDC-1133/2022,EPI_ISL_15297155,2022,Africa / Democratic Republic of the Congo / Kinshasa,BQ.1,
hCoV-19/DRC/INRB-RDC-1136/2022,EPI_ISL_15297158,2022,Africa / Democratic Republic of the Congo / Kinshasa,BQ.1,
hCoV-19/USA/NY-PRL-220930_00G10/2022,EPI_ISL_15297628,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00G24/2022,EPI_ISL_15297636,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00H03/2022,EPI_ISL_15297637,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00H04/2022,EPI_ISL_15297638,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00I02/2022,EPI_ISL_15297654,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00I11/2022,EPI_ISL_15297659,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00I17/2022,EPI_ISL_15297664,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00I23/2022,EPI_ISL_15297670,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00K03/2022,EPI_ISL_15297690,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00K04/2022,EPI_ISL_15297691,25/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00K12/2022,EPI_ISL_15297696,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00K24/2022,EPI_ISL_15297702,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00M15/2022,EPI_ISL_15297722,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_00N16/2022,EPI_ISL_15297725,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01A01/2022,EPI_ISL_15297727,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01B21/2022,EPI_ISL_15297767,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01B23/2022,EPI_ISL_15297770,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01C20/2022,EPI_ISL_15297785,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01D08/2022,EPI_ISL_15297797,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01D19/2022,EPI_ISL_15297807,26/09/2022,North America / USA / New York / New York City,BQ.1,
